"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"Fscan";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.15";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.15;292360.557516577;320430.654792684;437574.215113445;618303.828605081;697552.363787897;457090.900491199;450037.956013404;61803.7381804822;1.04091396136307;0.1382;0.0026;0.333;0.006;0.172;0.004;0.691;0.6435;NA;0.013;0.013;2021;0;0;0;0.0932071040434115;0.145585148100087;0.225168598755604;38671.24333072;59662.966812385;95624.0615895704;62404.2697559567;11629.3286398516;10347.2947812053;1.07867556287855
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.16";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.16;287741.140749751;319959.905206215;444475.166209979;638413.824767439;713479.867103655;465086.2578572;457825.105978744;65691.6697555999;1.04106313854577;0.1414;0.004;0.338;0.011;0.171;0.007;0.707;0.6615;NA;0.02;0.02;2021;0;0;0;0.098445745257075;0.154728389654104;0.240875291294714;41315.4351339758;63506.0407302246;103513.585565561;67062.6559519039;12861.9236704848;11669.3719520912;1.08435821164234
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.17";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.17;283678.315511612;311412.453073979;432695.969695494;626812.545462051;705419.277083058;454482.759840799;443512.437282348;65102.9448697402;1.03802179857213;0.1646;0.002;0.374;0.006;0.183;0.004;0.823;0.7795;NA;0.01;0.009;2021;0;0;0;0.103448649744234;0.16525012563059;0.257368946533412;42834.6325707795;65837.2968296508;106567.369568469;69269.7015794912;12944.2527381328;11793.4248552951;1.07721523470134
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.18";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.18;277005.713200389;306456.478266473;425341.727055178;613849.148838578;685474.44308086;446294.55380724;434178.303678417;63592.6393176905;1.03580850807478;0.1816;0.0036;0.394;0.01;0.193;0.008;0.908;0.846;NA;0.018;0.018;2021;0;0;0;0.11168106252804;0.174531246317279;0.278228156069427;44523.2063751738;68931.8414114885;111396.574347727;72169.3409584746;13372.6408081039;12233.6171962881;1.06999041767882
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.19";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.19;273384.023917517;301812.456383773;424238.872531978;604729.175956233;679715.870924906;442114.109100981;423845.875869286;64185.5366427129;1.0268215999908;0.1934;0.0058;0.42;0.014;0.202;0.01;0.967;0.9145;NA;0.029;0.026;2021;0;0;0;0.119002147225887;0.186215021159729;0.294823452821385;47024.4272074145;71934.6617063812;116664.695295926;75725.8442327896;14322.5959800606;13241.8354398469;1.06788469434646
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.2";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.2;272773.124254839;302598.813769762;419971.819168425;599793.629689921;671701.505397067;438089.145658926;418682.286267097;64285.7334139517;1.02363954214481;0.1938;0.0066;0.424;0.016;0.211;0.011;0.969;0.9;NA;0.033;0.033;2021;0;0;0;0.125395793087937;0.19657345103541;0.312906120381448;49156.4825156789;75217.6739358689;121060.463693449;78981.5655632599;14830.7175314134;13881.9991195231;1.06796414698187
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.21";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.21;267956.586491862;296979.756938353;414620.26153391;596354.873379136;659644.059549447;433870.235855052;412148.422073753;63641.1232950368;1.01677868754756;0.2144;0.006;0.465;0.019;0.25;0.015;1.072;0.988;NA;0.03;0.03;2021;0;0;0;0.13156319363324;0.20664583641096;0.335442000913961;51233.4583420317;77662.6369889746;125555.283230369;81602.5739346186;15307.4854688081;14428.9479140707;1.06230341480452
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.22";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.22;265879.582684438;294123.300392104;413939.065183561;589715.181954858;657153.730933088;432205.416876921;413154.198600425;64082.2092348696;1.01798690387041;0.2164;0.0074;0.456;0.02;0.247;0.015;1.082;1.0075;NA;0.037;0.037;2021;0;0;0;0.134671476733586;0.214728906024644;0.348533737392393;52310.2023998002;80080.2663947379;129455.994752119;83979.8793498407;15613.3101192258;14713.1714262782;1.06202566968669
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.23";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.23;259408.59307078;291500.132063813;411899.23605617;602799.386130104;677360.680134653;432751.511265242;410528.895309707;66268.4410982757;1.01394691449277;0.2256;0.0098;0.482;0.026;0.254;0.023;1.128;1.0505;NA;0.049;0.049;2021;0;0;0;0.140008094284178;0.223967274276197;0.372596742322917;54551.5699198705;82664.6714820302;134552.864812358;87394.0703843643;16831.2301940206;15791.6562730673;1.0616941181942
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.24";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.24;255987.972507305;287750.47337022;410966.485748007;597263.267506599;672677.946933228;430000.634226899;401679.071283208;65720.5545509785;1.01043974246127;0.2294;0.0092;0.485;0.024;0.267;0.022;1.147;1.074;NA;0.046;0.046;2021;0;0;0;0.145327268677872;0.233408082699813;0.378746425039284;56290.4206633688;85464.4578617066;138586.142290978;89974.3655943855;16949.0557326582;16251.2224173146;1.05822304007826
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.25";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.25;246768.456870101;282693.530420868;409066.625938818;589544.491553313;671349.383140396;426380.919536536;395855.112748257;66071.1675061131;1.00474762892222;0.2404;0.0142;0.517;0.037;0.303;0.028;1.202;1.119;NA;0.071;0.0695;2021;0;0;0;0.154700000746399;0.24587671950683;0.413903660348987;57339.8810607321;88724.9674187249;145014.640880281;93752.0006407363;18328.5111306796;17308.9965550156;1.05649365381714
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.26";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.26;250371.653726306;282214.551376394;406803.159955663;581776.216394432;656551.857950071;423391.230970245;389989.296983435;67425.8316050275;1.00416531849053;0.2516;0.0136;0.538;0.033;0.319;0.03;1.258;1.1795;NA;0.068;0.068;2021;0;0;0;0.157100147958939;0.25539241346698;0.424225144083848;59139.0337115928;90826.1356934327;148006.282896199;95903.3961502119;18474.3035822702;17780.2787114693;1.0558867060499
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.27";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.27;242605.421999784;274880.427344301;398628.343709671;574459.34271005;645030.97996547;415252.351838712;381674.470925757;66242.6706033536;1.00057697881128;0.2712;0.0162;0.574;0.044;0.343;0.033;1.356;1.269;NA;0.081;0.081;2021;0;0;0;0.163203137046223;0.267753308388167;0.442351213962036;60404.0432819042;92837.3411309236;151035.60333074;97492.8462282809;19035.2674598296;18199.7646022012;1.04965168759015
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.28";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.28;238279.11609031;271185.381478389;396840.238248281;575890.918390358;649764.973330965;413671.713919758;375929.136400782;66324.4751318632;0.992997992227612;0.282;0.0196;0.581;0.053;0.375;0.041;1.41;1.3225;NA;0.098;0.097;2021;0;0;0;0.169337419958276;0.277355079487241;0.473075237767234;61864.3404897593;95106.3802136495;155073.681040383;100536.72321684;19581.8209849591;18932.305384954;1.04660374126296
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0.29";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0.29;234032.237304744;267722.997920844;394486.767219371;569248.355278231;640437.002255529;410154.52854887;368949.947421373;66600.7760624549;0.991075566540011;0.2928;0.0184;0.6;0.053;0.394;0.039;1.464;1.3715;NA;0.092;0.092;2021;0;0;0;0.174957975875506;0.286372868294683;0.500128111363692;63324.495230576;97689.2987708145;160147.150929337;102798.605033724;20470.957380572;19859.7562853463;1.04467647665622
"initial";"ASSss3_HCR12_RECmed_INNvar_OERnaq_Fscan0";"ASSss3";"HCR12";"RECmed";"INNvar";"OERnaq";0;332889.100651877;364559.142165598;512042.650389246;734892.183680617;823170.503902964;533828.845702083;586015.841384122;68205.9791735895;1.10624646374887;0.057;4e-04;0.188;0.002;0.177;0.002;0.285;0.2825;2023;0.002;0.002;2021;0.8164;1;4.082;0;0;0;0;1e-06;1e-06;8.038e-07;3.22077067913274e-07;3.195e-07;1
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.01";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.01;274398.222116322;290254.407487194;358117.822554184;451153.144099915;488254.302336846;365894.888581186;355804.395195613;29883.216734581;1.00724375168403;0.3666;8e-04;0.646;0.004;0.384;0.004;1.833;1.679;NA;0.004;0.004;2021;0.001;0.004;0.005;0.00794425396493832;0.0109408798629506;0.0146498777023803;2749.4668397356;3905.71904817723;5730.95594241302;4028.22091813679;484.65755138425;449.056967025265;627701.739931795
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.02";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.02;271875.337901661;287736.030784566;353183.943240212;445085.224353269;479093.282190516;361339.798437244;347038.501473692;29777.9445579611;1.00032303173499;0.3888;2e-04;0.673;0.001;0.424;0.001;1.944;1.7885;NA;0.001;0.001;2021;6e-04;0.003;0.003;0.0159010922458683;0.0220155906946844;0.0294191266097176;5464.76789366655;7740.92808305423;11214.4261265518;7943.76659680792;958.693226723617;902.057071067873;1026157.23768761
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.03";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.03;268926.1324072;283176.327389298;347901.805516017;439848.563540921;474788.957944478;356124.618472392;338935.092139283;29652.8405034374;0.997083197842401;0.4292;2e-04;0.725;0.001;0.488;0.001;2.146;1.976;NA;0.001;0.001;2021;8e-04;0.004;0.004;0.0235294386124845;0.0329852298818193;0.0447759877062096;8019.26622314516;11335.8551523292;16666.3275415139;11689.8766752685;1451.43636475883;1358.28494071275;2724726.33198646
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.04";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.04;262355.494580434;277617.43776395;343130.089200447;433332.183369398;471815.148278786;351362.977665474;333046.567996449;30443.0039753872;0.991159798044451;0.4612;0;0.767;0;0.527;0;2.306;2.1345;NA;0;0;2021;8e-04;0.004;0.004;0.031188047560338;0.0439107185612714;0.0606451885190994;10436.5494077777;14879.6160786999;21928.3335792848;15323.0328955497;1946.71875378485;1802.65155113655;9739678.82988165
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.05";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.05;258960.10265467;274494.929949369;339298.52325863;430621.969176993;468310.145007371;347897.562986756;326822.8833057;31242.3687980656;0.986490120002343;0.4858;0.001;0.798;0.004;0.577;0.003;2.429;2.236;NA;0.005;0.005;2021;0.001;0.005;0.005;0.0395967662881633;0.0554946615558381;0.0763407225259222;13061.7518202982;18487.5875079588;27091.0257170652;19039.2905532228;2402.13703343861;2270.31498632331;9394539.81948736
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.06";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.06;254039.447680961;269981.699960645;337193.165433794;427344.565942269;464548.900511579;344711.628671404;321433.304491419;32025.5205680391;0.981709121007839;0.502;8e-04;0.814;0.003;0.605;0.002;2.51;2.3255;NA;0.004;0.004;2021;8e-04;0.004;0.004;0.0471745533923741;0.0665045280995436;0.091590222928874;15357.2689759047;21832.2725586731;31976.1438024741;22468.2015651261;2877.86583414156;2700.60120349789;2522392.10987608
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.07";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.07;248730.280315364;264706.900691425;332009.266159415;425265.537166498;463545.425528007;340445.42333179;311786.919225337;32885.1283387803;0.97560327099755;0.5354;0.001;0.84;0.004;0.659;0.002;2.677;2.5045;NA;0.005;0.005;2021;0.0014;0.007;0.007;0.0542483450855061;0.0779202373631774;0.10809958831267;17409.8421177823;25024.6315666126;36979.7933038963;25770.927086416;3513.42718710629;3243.07032602976;13319971.172953
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.08";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.08;243707.005442739;259556.796695251;327892.406862203;417750.937250237;453188.613861659;334871.588772642;306132.308000916;32758.4234802408;0.970850909053122;0.5656;0.0022;0.877;0.009;0.701;0.005;2.828;2.652;NA;0.011;0.01;2021;0.0022;0.009;0.011;0.0616576475107667;0.0896212413511602;0.125044387509712;19261.4856712426;28211.5895827579;41737.7229483502;29005.8462758842;4006.33581677343;3691.50918565594;11060016.2776674
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.09";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.09;238393.33502435;254159.734637938;324289.151758717;417424.436921643;454470.373164659;331744.134136188;299127.722152935;34234.78816611;0.968127972529166;0.5866;0.0038;0.894;0.01;0.735;0.007;2.933;2.7755;NA;0.019;0.019;2021;0.0018;0.009;0.009;0.0692631980088294;0.10114157173509;0.143344809205713;21979.3618337783;31154.8447813017;46389.4938123365;32196.5369212878;4602.73839558733;4216.63416140405;22711090.3865111
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.1";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.1;234047.206143096;250503.999981886;321719.727162315;414359.48066395;449123.031888182;328857.089174029;293818.677901157;34406.846697291;0.961591889679768;0.5972;0.0048;0.899;0.016;0.751;0.01;2.986;2.825;NA;0.024;0.024;2021;0.0016;0.008;0.008;0.0762993973967672;0.11266176919957;0.160569232333911;23559.9581872159;34305.7916684417;50919.1723013329;35352.5547069857;5114.77533205392;4666.14021448724;14032983.300477
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.11";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.11;228888.956561307;245984.356419137;318063.549092098;410140.228519068;446315.860456862;324855.975791636;288959.542696857;35678.2845695996;0.956323421682382;0.6262;0.0066;0.918;0.027;0.794;0.017;3.131;2.956;NA;0.033;0.033;2021;0.0022;0.011;0.011;0.0842017515774234;0.124985148879627;0.17920293258997;25370.3481085649;37386.3238021094;55622.1104271014;38573.3100394401;5798.08285601764;5276.07518178454;27140887.4432561
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.12";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.12;224615.295401946;241826.053096055;314496.254053471;410444.037379279;444425.448282349;321610.0867418;281584.774562181;36366.106257132;0.952855915849433;0.6366;0.0102;0.922;0.037;0.81;0.022;3.183;3.0295;NA;0.051;0.051;2021;0.0032;0.012;0.016;0.0911331226965214;0.136401636290308;0.196517593798175;26871.0705419724;40045.0481932261;59771.8978124992;41313.0208389984;6395.77893334294;5795.91714724656;37654256.6579131
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.13";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.13;219471.506524332;237107.115636126;310287.593544778;406751.853661886;439276.510620194;317005.261013583;274501.102012046;36963.3935983841;0.94772372143862;0.6624;0.0162;0.935;0.052;0.828;0.039;3.312;3.1585;NA;0.081;0.081;2021;0.0018;0.008;0.009;0.0988501514510167;0.147576250218151;0.213877470091771;28939.7028247402;42487.47919479;63533.8259360411;43906.1800220013;6915.060649043;6238.60303172971;34322431.6712201
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.14";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.14;216252.481283658;233603.15033778;308036.641858145;404940.398341176;440967.70001467;315483.768901236;273540.253698645;38216.3335640353;0.943438413072793;0.6682;0.0168;0.941;0.058;0.843;0.041;3.341;3.201;NA;0.084;0.084;2021;0.0038;0.017;0.019;0.105052361252989;0.1603920120299;0.235764899203089;30163.3042887576;45617.3562116043;68569.6259682155;47105.1083263233;7738.46965448104;6975.30414906773;56854717.9130693
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.15";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.15;211296.084234238;229168.26925431;305905.586315353;404531.179593334;438753.673404465;312410.108326792;268356.288848128;38764.2514672715;0.939052421084515;0.679;0.0264;0.945;0.083;0.865;0.065;3.395;3.253;NA;0.132;0.13;2021;0.0038;0.016;0.019;0.111085883286813;0.171692481623612;0.254403674925258;31391.6782290868;48179.1323456742;72458.9810519878;49677.2930541176;8358.02362199516;7454.1322630145;61750554.8050831
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.16";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.16;207707.826471323;225465.038698609;302118.609978699;398869.607643607;428691.045677571;307989.34791562;262921.964374397;38966.4922019382;0.936715448729033;0.6974;0.0298;0.958;0.099;0.882;0.074;3.487;3.346;NA;0.149;0.148;2021;0.0034;0.014;0.017;0.117366469903708;0.183705008308698;0.274777721282145;32246.7784290816;50429.3149307483;76012.894429991;51991.2139838169;8922.12163875554;7963.72577433524;83733382.9596089
"initial";"ASSss3_HCR15_REClow_INNvar_OERnaq_Fscan0.17";"ASSss3";"HCR15";"REClow";"INNvar";"OERnaq";0.17;202517.492045338;219225.600205294;300226.806618455;402185.256642049;439924.501210771;307008.383695303;259227.114303155;40511.1865018301;0.930396673771431;0.6992;0.0386;0.953;0.125;0.892;0.096;3.496;3.349;NA;0.193;0.192;2021;0.0046;0.022;0.023;0.123076846519482;0.194559662453981;0.294855614838583;33442.9633139611;52855.0962673631;80146.9778457786;54594.8424685304;9818.6434843096;8610.91644536902;72637371.1248509
"initial";"ASSss3_HCR16_RECmed_INNvar_OERnaq_Fscan0.05";"ASSss3";"HCR16";"RECmed";"INNvar";"OERnaq";0.05;326718.805556417;356790.787162117;490656.002258153;698710.662706589;771709.449077965;511523.359340078;550205.739384416;67818.9258200428;1.09190101930914;0.0664;2e-04;0.195;0.001;0.17;0.001;0.332;0.3255;2023;0.001;0.001;2021;0.1026;0.367;0.513;0;0.0458029032848218;0.0681362931003354;1e-06;23000.5413990733;37399.2884416546;21636.5698608853;7994.13834159986;6012.95173000834;1521723135.44613
"initial";"ASSss3_HCR16_RECmed_INNvar_OERnaq_Fscan0.1";"ASSss3";"HCR16";"RECmed";"INNvar";"OERnaq";0.1;318429.276000005;343989.186531779;469349.887817596;672648.497020583;737772.439920179;490665.910069179;503315.309821528;66633.1774240767;1.07126579402502;0.0844;4e-04;0.238;0.001;0.167;0.001;0.422;0.408;2024;0.002;0.002;2021;0.1092;0.398;0.546;0;0.0912348497858167;0.140782060567124;1e-06;42946.9605147355;69762.5161310097;40186.8479014038;15267.325510288;12509.8363848802;3291703984.73578
"initial";"ASSss3_HCR16_RECmed_INNvar_OERnaq_Fscan0.15";"ASSss3";"HCR16";"RECmed";"INNvar";"OERnaq";0.15;307148.401083592;335320.697564821;455624.548757761;635658.540626098;704572.987962332;473525.562271496;473084.215663676;66214.26971315;1.05310794364433;0.1044;4e-04;0.286;0.002;0.164;0.001;0.522;0.497;NA;0.002;0.002;2021;0.119;0.42;0.595;0;0.134810190550792;0.217661803928838;1e-06;60675.0202881748;97548.6947630296;55923.5472093919;22447.1924406086;19281.5166888692;5446465915.55186
"initial";"ASSss3_HCR16_RECmed_INNvar_OERnaq_Fscan0.2";"ASSss3";"HCR16";"RECmed";"INNvar";"OERnaq";0.2;291047.705472281;319177.540892107;437854.035816347;622315.533044172;696921.463532325;458039.467872045;444719.476163693;69547.8846514457;1.04167160772349;0.1432;0.002;0.371;0.007;0.187;0.005;0.716;0.6705;NA;0.01;0.01;2021;0.1392;0.467;0.696;0;0.176097141018877;0.305090219904567;1e-06;73807.6987672843;121940.321867036;68933.3041717311;29502.3643048774;26707.8986704511;7218326403.34474
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.01";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.01;278134.390098999;294085.902844771;357924.725829903;442991.207212565;472033.091386976;364278.624081649;357340.039890857;29049.3577870992;1.00693443786991;0.3556;0;0.825;0;0.385;0;3.556;2.71166666666667;NA;0;0;2021;0;0;0;0.00845965825404008;0.0101562642707844;0.0133084071000805;2750.60993494209;3637.71641045685;5089.63142897579;3746.99012896035;594.360070343077;429.208178348988;1.00031269640433
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.02";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.02;272181.607529726;287885.63399049;351725.167069557;435973.231871249;463976.030880232;357831.0227661;348422.907187029;29216.614057218;1.00437471637697;0.3978;0;0.857;0;0.425;0;3.978;2.97025;NA;0;0;2021;0;0;0;0.0168723251091078;0.0203057472390706;0.0267030551290169;5355.00714357266;7118.00743759437;10027.7869231348;7331.52700094908;1194.3870842696;854.765810721644;0.997825094845525
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.03";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.03;265893.395831432;281790.473918731;345554.299444842;428832.945204913;457169.526143267;351613.429470559;340167.093033907;29416.4070776676;1.00190263744291;0.4425;2e-04;0.891;0.001;0.483;0.001;4.425;3.32908333333333;NA;0.002;0.001;2021;0;0;0;0.0252525937120636;0.0304675336131691;0.0401516807576064;7811.06975341548;10438.4140131936;14821.4889972976;10762.0018684534;1802.56133754898;1277.03796721123;0.995423323697017
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.04";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.04;260270.714735772;275640.738578064;339666.970915009;422528.03923588;451082.529313493;345615.630546329;332168.401361063;29645.8768413766;0.999516736968409;0.4841;2e-04;0.917;0.001;0.541;0.001;4.841;3.65383333333333;NA;0.002;0.001;2021;0;0;0;0.0335014644550128;0.0406561623081429;0.0536118818118743;10121.1136664308;13594.5163212145;19493.3436800708;14046.5530858833;2420.70514732408;1696.51262263801;0.993106176743228
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.05";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.05;254275.097513096;269725.242744173;334404.216175665;416954.607007421;444513.352386202;339828.142284908;323962.385104194;29906.9956718282;0.997215376051378;0.5216;4e-04;0.937;0.002;0.584;0.002;5.216;3.96883333333333;NA;0.004;0.0025;2021;0;0;0;0.0417119293677869;0.05085461495351;0.0671646555108993;12298.7285654218;16622.3538183414;24050.0948687549;17192.9288742692;3050.0762173305;2113.32822989358;0.990872234351651
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.06";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.06;248029.761020979;263935.008445926;328855.279711418;411269.702088444;439095.056189474;334240.843896057;316918.955928561;30193.230193174;0.994996022810313;0.5597;8e-04;0.95;0.005;0.634;0.002;5.597;4.3235;NA;0.008;0.008;2021;0;0;0;0.0498826776300333;0.0610534467389752;0.0808224165038378;14342.1943305657;19511.9465838854;28413.917684256;20208.4079676383;3691.48063495902;2527.43948043831;0.988718737727106
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.07";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.07;242414.05916585;258337.049745641;323829.152375318;405955.35012996;433416.294706017;328843.921665773;309847.273021447;30499.2067934388;0.992855645119394;0.5943;0.0013;0.964;0.007;0.684;0.003;5.943;4.67166666666667;NA;0.013;0.013;2021;0;0;0;0.0580066207173878;0.0712745913123252;0.0945185622740656;16269.4588863586;22278.0469674922;32778.8919937081;23099.8178130612;4345.34415297561;2939.13529402985;0.986642380072081
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.08";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.08;236786.751515234;252496.33887358;318867.374820134;401237.603433378;427935.592189842;323624.596947063;302872.757484471;30819.4770605034;0.990784818276206;0.6262;0.0031;0.981;0.02;0.721;0.006;6.262;4.96733333333333;NA;0.031;0.031;2021;0;0;0;0.0660564543342747;0.0815010907409958;0.108223618575298;18079.3554243718;24899.307342488;36925.313484394;25873.3826011396;5011.81643605653;3348.90314598734;0.984634757658714
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.09";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.09;231159.024944954;247222.684126524;313403.254415249;396432.764273864;424018.331214634;318574.277210318;296334.657289066;31150.849024309;0.988779426245168;0.6537;0.005;0.984;0.032;0.757;0.01;6.537;5.25233333333333;NA;0.05;0.049;2021;0;0;0;0.0740487550231616;0.0917455542409649;0.122212232607253;19758.9957128186;27428.9391427918;41065.8716324997;28535.072662922;5690.83293663503;3757.02959149987;0.982694364578162
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.1";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.1;225871.016727612;242195.100911257;308540.436914528;392046.411561907;419631.254726243;313681.037505228;290162.065157119;31488.1866164263;0.98683112032324;0.6823;0.0084;0.989;0.054;0.791;0.019;6.823;5.5535;NA;0.084;0.08;2021;0;0;0;0.0819108831438914;0.102015066370279;0.136132050934175;21339.2875809977;29872.4481326113;45110.2994967397;31090.2187927734;6382.30664046809;4163.4682726074;0.980812894175861
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.11";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.11;220379.545986833;236562.483890829;303823.882742683;388228.081853551;415512.466641177;308933.531450512;284530.219985228;31830.8187328312;0.984926790955112;0.7051;0.0123;0.992;0.072;0.822;0.026;7.051;5.79866666666667;NA;0.123;0.113;2021;0;0;0;0.0897453564919196;0.11229272515565;0.150142085823091;22821.4465113292;32210.6274566792;49169.4814228631;33543.7951123055;7086.02341169156;4568.12739855919;0.97897539287446
"short";"ASSnone_HCR12_REClow_INNvar_OERnone_Fscan0.12";"ASSnone";"HCR12";"REClow";"INNvar";"OERnone";0.12;214978.787462768;231583.677698227;299123.082238976;384625.816360044;411195.772849131;304317.626489931;278621.81384639;32180.3250012657;0.983063917021831;0.7265;0.0179;0.994;0.101;0.84;0.034;7.265;6.09916666666667;NA;0.179;0.166;2021;0;0;0;0.0975535650181576;0.122589067249197;0.163996765753739;24243.1427332202;34409.3135218158;53075.9517944546;35899.7911803731;7801.93424119613;4970.91845117952;0.977178935330431
